FaceLabels_0,FaceLabels_1
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
-1,58
58,67
58,67
58,67
58,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
-1,67
61,67
61,67
61,67
61,67
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
-1,61
31,61
31,61
31,61
31,61
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
19,31
19,31
-1,31
-1,31
-1,31
-1,31
19,31
19,31
-1,31
-1,31
-1,31
-1,31
19,31
19,31
-1,31
-1,31
-1,31
-1,31
19,31
19,31
-1,31
-1,31
-1,31
-1,31
19,31
19,31
-1,31
-1,31
-1,31
-1,31
19,31
19,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
-1,31
31,40
31,40
-1,40
-1,40
-1,40
-1,40
-1,40
-1,40
-1,40
-1,40
